Date,Daily Max 8-hour Ozone Concentration
11/7/2017,0.032
11/8/2017,0.026
11/9/2017,0.031
11/10/2017,0.022
11/11/2017,0.021
11/12/2017,0.007
11/13/2017,0.016
11/14/2017,0.023
11/15/2017,0.02
11/16/2017,0.016
11/17/2017,0.015
11/18/2017,0.026
11/19/2017,0.029
11/20/2017,0.03
11/21/2017,0.02
11/22/2017,0.023
11/23/2017,0.025
11/24/2017,0.03
11/25/2017,0.031
11/26/2017,0.029
11/27/2017,0.029
11/28/2017,0.031
12/5/2017,0.028
12/6/2017,0.027
12/7/2017,0.023
12/8/2017,0.023
12/9/2017,0.027
12/10/2017,0.022
12/11/2017,0.029
12/12/2017,0.031
12/13/2017,0.024
12/14/2017,0.019
12/15/2017,0.025
12/16/2017,0.023
12/17/2017,0.017
12/18/2017,0.014
12/19/2017,0.019
12/20/2017,0.032
12/21/2017,0.012
12/22/2017,0.02
12/23/2017,0.024
12/24/2017,0.028
12/25/2017,0.033
12/26/2017,0.03
12/27/2017,0.023
12/28/2017,0.026
12/29/2017,0.019
12/30/2017,0.034
